id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1462571481230106625,1462571481230106625,2021-11-22 06:59:49 SE Asia Standard Time,2021-11-22,06:59:49,+0700,1000193084725047296,carryme0ut,Brendan 🕊,,starting to think that I not only have adhd and depression but that i’m also lazy… much to think about tonight,en,[],[],[],0,1,8,[],[],https://twitter.com/carryme0ut/status/1462571481230106625,False,,0,,,,,,,,[],,,,
1462571465430208514,1462571465430208514,2021-11-22 06:59:45 SE Asia Standard Time,2021-11-22,06:59:45,+0700,1263433521223344128,helennmccrory,blake,,depression for the tl   https://t.co/bQq1Tsq6xB,en,[],[],[],0,3,20,[],[],https://twitter.com/HELENNMCCRORY/status/1462571465430208514,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1446184817175977990/pu/img/QYQTALmu8sIDWPaP.jpg,,,,,,,[],,,,
1462571434199293957,1462483607696678924,2021-11-22 06:59:37 SE Asia Standard Time,2021-11-22,06:59:37,+0700,1446202894236073991,missesmysteries,missesmysteries,,"@Nerdy_Addict from childhood abuse. My therapist diagnosed me with complex ptsd, GAD/social anxiety with severe panic attacks and hyper vigilance (always aware and waiting for the next bad thing). and some ADD to spice it up. Depression came back since my mom passed last year 3/18/20",en,[],[],[],0,0,0,[],[],https://twitter.com/missesmysteries/status/1462571434199293957,False,,0,,,,,,,,"[{'screen_name': 'Nerdy_Addict', 'name': 'Nerdy Addict', 'id': '1052953940361383937'}]",,,,
1462571428658753544,1462571428658753544,2021-11-22 06:59:36 SE Asia Standard Time,2021-11-22,06:59:36,+0700,1127966444124352512,ambahatesyou,ambs ♡🇮🇳,,post show depression is the worst thing ever,en,[],[],[],0,1,2,[],[],https://twitter.com/ambahatesyou/status/1462571428658753544,False,,0,,,,,,,,[],,,,
1462571359716917251,1462571359716917251,2021-11-22 06:59:20 SE Asia Standard Time,2021-11-22,06:59:20,+0700,172402887,sengulfndklr,Sengul Findiklar,,"Lemme just get xanax and I’ll be sleeping like a baby. Meanwhile… Depression: dont think so sweety, we didnt fill our pain quota today  Anxiety: ok, lets rewind 7 months ago, that specific Tuesday night…  Headache: Hi b*tch Nose: imma just run like crazy dont mind me tho.  :)))",en,[],[],[],0,0,0,[],[],https://twitter.com/sengulfndklr/status/1462571359716917251,False,,0,,,,,,,,[],,,,
1462571344541925384,1462571344541925384,2021-11-22 06:59:16 SE Asia Standard Time,2021-11-22,06:59:16,+0700,1427090384782516224,rohin_senthil,Rohin Senthil,,Seahawks give me depression,en,[],[],[],0,0,1,[],[],https://twitter.com/rohin_senthil/status/1462571344541925384,False,,0,,,,,,,,[],,,,
1462571311838937100,1462571311838937100,2021-11-22 06:59:08 SE Asia Standard Time,2021-11-22,06:59:08,+0700,1038478477492662273,hagerab24524868,هاجر 🕊 .,,Me to my friends after saying all the dramatic things thats put me in depression:  https://t.co/FrtzdX24es,en,[],[],[],0,0,1,[],[],https://twitter.com/HagerAb24524868/status/1462571311838937100,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1462571220537389065/pu/img/gPIiYtVLhxAT3Amm.jpg,,,,,,,[],,,,
1462571292444479488,1462571291312103434,2021-11-22 06:59:04 SE Asia Standard Time,2021-11-22,06:59:04,+0700,49065717,shehariah,Ari J.,,I told him it was because of me recently leaving an abusive relationship..And PTSD Depression and Anxiety as a result of almost losing my life. I wonder how other people was feeling about me at my lowest? I’ve healed some since then and I’m oh so grateful. #silencekills0,en,[],[],[],1,0,1,['silencekills0'],[],https://twitter.com/Shehariah/status/1462571292444479488,False,,0,,,,,,,,[],,,,
1462571284894732301,1462571284894732301,2021-11-22 06:59:02 SE Asia Standard Time,2021-11-22,06:59:02,+0700,770780123192631297,loverboijake,lumberjake,,I shaved everything but my mustache… should… should I do drag… my depression reallllly doesn’t want me to but therapy says I probably should lololol,en,[],[],[],1,0,2,[],[],https://twitter.com/loverboijake/status/1462571284894732301,False,,0,,,,,,,,[],,,,
1462571216888373252,1462571216888373252,2021-11-22 06:58:46 SE Asia Standard Time,2021-11-22,06:58:46,+0700,1203042874973179906,murderbutsexy,💖Qualified Tummy Squisher💖,,Brain: Depression Spike™  Me: You wanna think about the different ways your various OCs are mentally ill and suicidal?  Brain: ...kinda weird but sure,en,[],[],[],0,0,1,[],[],https://twitter.com/MurderbutSexy/status/1462571216888373252,False,,0,,,,,,,,[],,,,
1462571203898474496,1462557732553302020,2021-11-22 06:58:42 SE Asia Standard Time,2021-11-22,06:58:42,+0700,1376174417533800448,seanlnelson1,Sean L Nelson,,"@POTUS A great stand, President Biden. My beloved grandma Dorothy would inject insulin daily between telling me stories of Depression Era Chicago. An altruistic citizen sold the patent of insulin for $35 dollars a month. What about a price of 60$ monthly cut by the state to 35 a month?  https://t.co/FbHXjDrKDT",en,[],[],['https://pbs.twimg.com/media/FEwYr7TVEAAF3qf.jpg'],0,0,0,[],[],https://twitter.com/SeanLNelson1/status/1462571203898474496,False,,1,https://pbs.twimg.com/media/FEwYr7TVEAAF3qf.jpg,,,,,,,"[{'screen_name': 'POTUS', 'name': 'President Biden', 'id': '1349149096909668363'}]",,,,
1462571195858145284,1462571195858145284,2021-11-22 06:58:41 SE Asia Standard Time,2021-11-22,06:58:41,+0700,1025811802804940806,lesbospyromane,fatigay,,j'ai soigné ma dépression et mes crises suicidaires et j'ai fait un gros travail sur moi-même vis-à-vis du bpd !!!,fr,[],[],[],1,0,4,[],[],https://twitter.com/lesbospyromane/status/1462571195858145284,False,https://twitter.com/Elek___/status/1461617930635034627,0,,,,,,,,[],,,,
1462571181748359170,1462571181748359170,2021-11-22 06:58:37 SE Asia Standard Time,2021-11-22,06:58:37,+0700,97269127,malaysiadadon,♌Malaysia,,And that’s causing my depression!,en,[],[],[],0,0,0,[],[],https://twitter.com/MalaysiaDaDon/status/1462571181748359170,False,https://twitter.com/bossinonbitches/status/1462459435268276227,0,,,,,,,,[],,,,
1462571155739406341,1462568188219121668,2021-11-22 06:58:31 SE Asia Standard Time,2021-11-22,06:58:31,+0700,824724333775908867,l00tprime,Jason Navarro,,@Boogie2988 I also think it has also something to do with the fact that alot of them misunderstood how illnesses works. They think mood and depression are one and the same so therefore you have to keep yourself busy to stop being moody or sad because that's what they did.,en,[],[],[],1,0,2,[],[],https://twitter.com/L00tPrime/status/1462571155739406341,False,,0,,,,,,,,"[{'screen_name': 'Boogie2988', 'name': 'Boogie2988 😭🤡', 'id': '42345999'}]",,,,
1462571117252538373,1462571117252538373,2021-11-22 06:58:22 SE Asia Standard Time,2021-11-22,06:58:22,+0700,1138268679588569088,bitchimboredt,sadbitch™️,,parents making my depression act up just by simply being around them,en,[],[],[],0,0,0,[],[],https://twitter.com/bitchimboredt/status/1462571117252538373,False,,0,,,,,,,,[],,,,
1462571114585075717,1462571114585075717,2021-11-22 06:58:21 SE Asia Standard Time,2021-11-22,06:58:21,+0700,2855869866,lifelongenerjoy,"Tina Huang, Ph.D.",,"If you are depressed, it can be hard to imagine a healthy way of thinking. Similarly, healthy people may not know what it's like to have depression.  The Internal Workings of a Depressed Mind vs. Healthy Mind  https://t.co/tnfNDZfXXp",en,[],['https://bit.ly/2OOg8rT'],[],0,0,0,[],[],https://twitter.com/LifeLongEnerJoy/status/1462571114585075717,False,,0,,,,,,,,[],,,,
1462571090098671618,1462571090098671618,2021-11-22 06:58:15 SE Asia Standard Time,2021-11-22,06:58:15,+0700,1377650622921596934,zeenaalshatti,زينا,,ppl don’t fake depression.. they fake to be ok. remember that. #bekind,en,[],[],[],0,0,0,['bekind'],[],https://twitter.com/zeenaalshatti/status/1462571090098671618,False,,0,,,,,,,,[],,,,
1462571076282732551,1462571076282732551,2021-11-22 06:58:12 SE Asia Standard Time,2021-11-22,06:58:12,+0700,2808141532,senseiwreckit,WreckiitBeckett,,"Done some thinking recently, come to terms with the fact i need to search for help again with mental health  Tried tablets that didn't work a few years ago but both the Anxiety and Depression need some sort of help So i go outside, lose weight, see the world better and be happy  https://t.co/Gy9EYpH4o2",en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FEwYokxWYAAzPtS.jpg'],0,0,0,[],[],https://twitter.com/SenseiWreckit/status/1462571076282732551,False,,1,https://pbs.twimg.com/tweet_video_thumb/FEwYokxWYAAzPtS.jpg,,,,,,,[],,,,
1462571075041042432,1462571075041042432,2021-11-22 06:58:12 SE Asia Standard Time,2021-11-22,06:58:12,+0700,1532825311,duh_neeshaa,dane$ha;),,*cue depression nap*,en,[],[],[],0,0,0,[],[],https://twitter.com/duh_neeshaa/status/1462571075041042432,False,,0,,,,,,,,[],,,,
1462571065461264385,1462571065461264385,2021-11-22 06:58:09 SE Asia Standard Time,2021-11-22,06:58:09,+0700,12977192,silencedrowns,🦇🎃Diana Soreil🎃🦇,,I have said this several times before but I went to a live talk with Hayao Miyazaki and he was hands down the most depressing speaker I have ever encountered. Like straight up gave me depression,en,[],[],[],8,20,207,[],[],https://twitter.com/silencedrowns/status/1462571065461264385,False,https://twitter.com/funandnormal/status/1462492928237002752,0,,,,,,,,[],,,,
1462571014777307136,1462545808595714050,2021-11-22 06:57:57 SE Asia Standard Time,2021-11-22,06:57:57,+0700,615227168,singledadmac,Mac 🇯🇵🎌,,"@JacksAnAsset @Alexancooper From the looks of it, you didn’t have many friends growing up and probably don’t now. So I’m going to refrain from commenting before I drive you into a deeper depression.",en,[],[],[],1,0,0,[],[],https://twitter.com/singledadmac/status/1462571014777307136,False,,0,,,,,,,,"[{'screen_name': 'JacksAnAsset', 'name': 'Wayne Hisler 🏈', 'id': '1356484352264208384'}, {'screen_name': 'Alexancooper', 'name': 'Alexa', 'id': '38756173'}]",,,,
1462570950952734721,1462570903003402246,2021-11-22 06:57:42 SE Asia Standard Time,2021-11-22,06:57:42,+0700,1138203061636255744,sembetv,Sembe,,"...the newly established cells are open 5 days a week with trained community lay counsellors listening to and providing basic  counseling to youth and other community members suffering from anxiety, depression, trauma &amp; substance abuse among others.  #Cameoon  #mentalhealth  https://t.co/VXljLgQmUg",en,[],[],"['https://pbs.twimg.com/media/FEwYhDnXIAEIGTt.jpg', 'https://pbs.twimg.com/media/FEwYhVtXMAEgufS.jpg', 'https://pbs.twimg.com/media/FEwYhkRWYAM0aWT.jpg', 'https://pbs.twimg.com/media/FEwYh0hXoAUekyN.jpg']",0,0,0,"['cameoon', 'mentalhealth']",[],https://twitter.com/SembeTv/status/1462570950952734721,False,,1,https://pbs.twimg.com/media/FEwYhDnXIAEIGTt.jpg,,,,,,,[],,,,
1462570866391322625,1462570866391322625,2021-11-22 06:57:22 SE Asia Standard Time,2021-11-22,06:57:22,+0700,491444343,lrzzzzz,lrz,,je suis en depression tu crois je vais me laver ?? 😂😂😂 c reel #snapbacktoreality,fr,[],[],[],0,0,1,['snapbacktoreality'],[],https://twitter.com/lrzzzzz/status/1462570866391322625,False,,0,,,,,,,,[],,,,
1462570862637305856,1462570862637305856,2021-11-22 06:57:21 SE Asia Standard Time,2021-11-22,06:57:21,+0700,490191649,najeehahusnaumy,🧜🏼‍♀️,,pagi lagi dah depression ke sebab single 😭😭😭  https://t.co/DKMePr2PhX,in,[],[],['https://pbs.twimg.com/media/FEwYcYqVIAA-xvd.jpg'],0,0,1,[],[],https://twitter.com/Najeehahusnaumy/status/1462570862637305856,False,,1,https://pbs.twimg.com/media/FEwYcYqVIAA-xvd.jpg,,,,,,,[],,,,
1462570852604596224,1462456756014137349,2021-11-22 06:57:19 SE Asia Standard Time,2021-11-22,06:57:19,+0700,1413941503186063362,goblin19175214,gorgeous goblin,,@Lamiasdottir @IWriteAllDay_ Remember when they were doing trials for a bc pill for men &amp; the side effect was depression so they stopped it lmao I just think it’s funny how men’s health gets prioritized over women’s 🥴,en,[],[],[],0,2,6,[],[],https://twitter.com/goblin19175214/status/1462570852604596224,False,,0,,,,,,,,"[{'screen_name': 'Lamiasdottir', 'name': 'Gentrified Microbiome', 'id': '1229854104014540808'}, {'screen_name': 'IWriteAllDay_', 'name': 'Clarkisha', 'id': '179255183'}]",,,,
1462570847022034952,1462570847022034952,2021-11-22 06:57:17 SE Asia Standard Time,2021-11-22,06:57:17,+0700,877911803283607552,marilenephipps,Marilene Phipps,,UKRAINAN NIGHTS - A young reporter battles depression &amp; obsessive love - Buy it now! ➡ https://t.co/o6tiu62PKp  https://t.co/uXxt62iWUH (Recommended by Calumet Editions) &amp;{,en,[],['http://smarturl.it/UKNtg?IQid=3'],['https://pbs.twimg.com/media/EN81rNaWoAA-8Yg.png'],0,0,0,[],[],https://twitter.com/marilenephipps/status/1462570847022034952,False,,1,https://pbs.twimg.com/media/EN81rNaWoAA-8Yg.png,,,,,,,[],,,,
